Alfonso Cuarón;Mexico City;MEXICO;1961;Male;FILM DIRECTOR
Antoninus Pius;Lanuvium;ITALY;86;Male;POLITICIAN
Augustus;Rome;ITALY;-63;Male;POLITICIAN
André-Marie Ampère;Lyon;FRANCE;1775;Male;PHYSICIST
Ambrose;Trier;GERMANY;337;Male;RELIGIOUS FIGURE
Ahab;Samaria;Israel;-900;Male;POLITICIAN
Alcuin;York;UNITED KINGDOM;735;Male;PHILOSOPHER
Antonio Vivaldi;Venice;ITALY;1678;Male;COMPOSER
Absalom;Jerusalem;Palestine;-3500;Male;RELIGIOUS FIGURE
Alfred Russel Wallace;Llanbadoc;UNITED KINGDOM;1823;Male;BIOLOGIST
Albert I, Duke of Prussia;Ansbach;Germany;1490;Male;NOBLEMAN
Ahmed I;Manisa;Turkey;1590;Male;POLITICIAN
Ahmed II;Istanbul;Turkey;1643;Male;POLITICIAN
Ahmed III;Constanta;Bulgaria;1673;Male;POLITICIAN
Agesilaus II;Sparta;Greece;-444;Male;POLITICIAN
Agrippina the Younger;Cologne;GERMANY;15;Female;POLITICIAN
Ahmed Shah Abdali;Herat;AFGHANISTAN;1722;Male;POLITICIAN
Alaric I;Peuce Island;Romania;370;Male;POLITICIAN
Alaric II;Tulcea;Romania;450;Male;POLITICIAN
Albertus Magnus;Lauingen;GERMANY;1193;Male;RELIGIOUS FIGURE
Alboin;Pannonia;HUNGARY;530s;Male;POLITICIAN
Afonso de Albuquerque;Vila Franca de Xira;Portugal;1453;Male;NOBLEMAN
Alcaeus;Mytilene;GREECE;-620;Male;WRITER
Alexander Balas;Izmir;Turkey;-200;Male;POLITICIAN
Alexander II of Russia;Moscow;Russia;1818;Male;POLITICIAN
Alexander III of Russia;Saint Petersburg;Russia;1845;Male;POLITICIAN
Alexander I of Scotland;Dunfermline;UNITED KINGDOM;1078;Male;POLITICIAN
Alexander II of Scotland;Haddington;United Kingdom;1198;Male;POLITICIAN
Alexander I of Serbia;Belgrade;SERBIA;1876;Male;POLITICIAN
Alexander III of Scotland;Roxburgh;United Kingdom;1241;Male;POLITICIAN
Alexander Severus;Akkar;Lebanon;208;Male;POLITICIAN
Alexios I Komnenos;Istanbul;Turkey;1048;Male;POLITICIAN
Alexios II Komnenos;Istanbul;Turkey;1169;Male;POLITICIAN
Alexios III Angelos;Istanbul;Turkey;1153;Male;POLITICIAN
Alexios V;Other;Unknown;1150;Male;POLITICIAN
Andrew Jackson;Waxhaw;United States;1767;Male;POLITICIAN
Andrew Johnson;Raleigh;UNITED STATES;1808;Male;POLITICIAN
Aleksandr Solzhenitsyn;Kislovodsk;Russia;1918;Male;WRITER
Alfred the Great;Oxfordshire;United Kingdom;849;Male;POLITICIAN
Ibn al-Haitham;Basra;Iraq;965;Male;PHYSICIST
Alyattes II;Other;Unknown;-619;Male;POLITICIAN
Amalasuntha;Tuscany;Italy;495;Female;COMPANION
Afonso I of Portugal;Guimarães;PORTUGAL;1109;Male;POLITICIAN
Afonso II of Portugal;Coimbra;PORTUGAL;1185;Male;POLITICIAN
Afonso III of Portugal;Coimbra;PORTUGAL;1210;Male;POLITICIAN
Afonso IV of Portugal;Lisbon;PORTUGAL;1291;Male;POLITICIAN
Afonso V of Portugal;Sintra;Portugal;1432;Male;POLITICIAN
Alfonso XII of Spain;Madrid;SPAIN;1857;Male;POLITICIAN
Alfonso XIII of Spain;Madrid;Spain;1886;Male;POLITICIAN
Alfonso V of Aragon;Medina del Campo;SPAIN;1396;Male;POLITICIAN
Ambiorix;Other;Belgium;-100;Male;POLITICIAN
Abu Bakr;Mecca;SAUDI ARABIA;573;Male;RELIGIOUS FIGURE
Ananda;Other;Unknown;-573;Male;RELIGIOUS FIGURE
Anaxagoras;Clazomenae;Turkey;-500;Male;PHILOSOPHER
Anaximenes of Miletus;Miletus;Turkey;-585;Male;PHILOSOPHER
Ancus Marcius;Rome;Italy;-700;Male;POLITICIAN
Andrew II of Hungary;Esztergom;Hungary;1177;Male;POLITICIAN
Andronikos III Palaiologos;Istanbul;Turkey;1297;Male;POLITICIAN
Andronikos II Palaiologos;İznik;Turkey;1259;Male;POLITICIAN
Andronikos I Komnenos;Istanbul;Turkey;1118;Male;POLITICIAN
Ammianus Marcellinus;Antioch;Turkey;320;Male;WRITER
Apuleius;Madaurus;Algeria;120;Male;WRITER
Alexander Selkirk;Lower Largo;UNITED KINGDOM;1676;Male;PIRATE
Arnold Schwarzenegger;Thal;AUSTRIA;1947;Male;ACTOR
Adam Smith;Kirkcaldy;UNITED KINGDOM;1723;Male;ECONOMIST
Antoine Lavoisier;Paris;FRANCE;1743;Male;CHEMIST
Amitabh Bachchan;Allahabad;India;1942;Male;ACTOR
Agathocles of Syracuse;Sicily;Italy;-361;Male;POLITICIAN
Augustin Louis Cauchy;Paris;FRANCE;1789;Male;MATHEMATICIAN
Archimedes;Syracuse;Italy;-287;Male;MATHEMATICIAN
Alfred Jarry;Laval;France;1873;Male;WRITER
Anthemius of Tralles;Aydın;TURKEY;474;Male;MATHEMATICIAN
Alessandro Volta;Como;ITALY;1745;Male;PHYSICIST
Alexander Fleming;Lochfield;United Kingdom;1881;Male;BIOLOGIST
Andrew Carnegie;Dunfermline;United Kingdom;1835;Male;BUSINESSPERSON
Abel Tasman;Lutjegast;NETHERLANDS;1603;Male;EXPLORER
Alvar Aalto;Kuortane;FINLAND;1898;Male;ARCHITECT
A.J. Ayer;United Kingdom;United Kingdom;1910;Male;PHILOSOPHER
Atle Selberg;Langesund;NORWAY;1917;Male;MATHEMATICIAN
Aeschylus;Eleusina;Greece;-525;Male;WRITER
Andrew Wiles;Cambridge;United Kingdom;1953;Male;MATHEMATICIAN
Anne Brontë;Thornton;United Kingdom;1820;Female;WRITER
Augustine of Hippo;Souk Ahras;Algeria;354;Male;PHILOSOPHER
Alexander Grothendieck;Berlin;Germany;1928;Male;MATHEMATICIAN
Amerigo Vespucci;Florence;ITALY;1454;Male;EXPLORER
Aristide Maillol;Banyuls-sur-Mer;France;1861;Male;PAINTER
Antonio Canova;Possagno;Italy;1757;Male;ARTIST
Auguste Rodin;Paris;FRANCE;1840;Male;SCULPTOR
Adam Weishaupt;Ingolstadt;Germany;1748;Male;PHILOSOPHER
Adalbert of Prague;Libice nad Cidlinou;CZECH REPUBLIC;956;Male;RELIGIOUS FIGURE
Joseph Henry;Albany;UNITED STATES;1797;Male;PHYSICIST
Anton Drexler;Munich;Germany;1884;Male;POLITICIAN
Ahmed Shah Massoud;Panjshīr Province;Afghanistan;1953;Male;POLITICIAN
Arcadius;Spain;Spain;370;Male;POLITICIAN
Aage Niels Bohr;Copenhagen;DENMARK;1922;Male;PHYSICIST
Antipope John XXIII;Naples;Italy;1370;Male;RELIGIOUS FIGURE
Antonio Salieri;Legnago;ITALY;1750;Male;COMPOSER
Arthur Stanley Eddington;Kendal;UNITED KINGDOM;1882;Male;ASTRONOMER
Paul Krugman;Albany;UNITED STATES;1953;Male;ECONOMIST
Antipope Felix II;Other;Unknown;300;Male;RELIGIOUS FIGURE
Alessandro Scarlatti;Palermo;ITALY;1660;Male;COMPOSER
Alois Alzheimer;Marktbreit;GERMANY;1864;Male;PHYSICIAN
Akio Morita;Nagoya;JAPAN;1921;Male;BUSINESSPERSON
Anthony Hopkins;Margam;United Kingdom;1937;Male;ACTOR
Albrecht Dürer;Nuremberg;Germany;1471;Male;PAINTER
Alban Berg;Vienna;AUSTRIA;1885;Male;COMPOSER
Aurangzeb;Dahod;INDIA;1618;Male;POLITICIAN
Alberto Giacometti;Borgonovo;SWITZERLAND;1901;Male;ARTIST
Albrecht Altdorfer;Regensburg;GERMANY;1480;Male;PAINTER
Anton Chekhov;Taganrog;Russia;1860;Male;WRITER
Arnulf of Carinthia, Holy Roman Emperor;Other;Unknown;850;Male;POLITICIAN
Alexander Kerensky;Ulyanovsk;Russia;1881;Male;POLITICIAN
Ansgar;Amiens;FRANCE;801;Male;RELIGIOUS FIGURE
Adam of Bremen;Missing;Germany;1050;Male;WRITER
André the Giant;Grenoble;FRANCE;1946;Male;WRESTLER
Abbas II of Egypt;Alexandria;Egypt;1874;Male;POLITICIAN
Abd ar-Rahman I;Deir Hanna;ISRAEL;731;Male;POLITICIAN
Abd-ar-Rahman III;Córdoba;Spain;912;Male;POLITICIAN
Abdülâziz;Istanbul;TURKEY;1830;Male;POLITICIAN
‘Abdu’l-Hamid I;Istanbul;Turkey;1725;Male;POLITICIAN
Abdur Rahman Khan;Kabul;Afghanistan;1844;Male;POLITICIAN
Anders Celsius;Uppsala;SWEDEN;1701;Male;ASTRONOMER
Andrei Sakharov;Moscow;Russia;1921;Male;PHYSICIST
Aron Nimzowitsch;Riga;LATVIA;1886;Male;WRITER
Archduke Charles, Duke of Teschen;Florence;ITALY;1771;Male;NOBLEMAN
Augustine of Canterbury;Rome;ITALY;630;Male;RELIGIOUS FIGURE
Amr Diab;Port Said;EGYPT;1961;Male;SINGER
Anaïs Nin;Neuilly-sur-Seine;FRANCE;1903;Female;WRITER
Ariel Sharon;Kfar Malal;Israel;1928;Male;POLITICIAN
Alexey Pazhitnov;Moscow;Russia;1956;Male;COMPUTER SCIENTIST
`Abdu'l-Bahá;Tehran;Iran;1844;Male;RELIGIOUS FIGURE
Akira Toriyama;Nagoya;JAPAN;1955;Male;COMIC ARTIST
Alec Baldwin;Long Island (ex Queens & Brooklyn);UNITED STATES;1958;Male;ACTOR
Adolphe Sax;Dinant;BELGIUM;1814;Male;INVENTOR
Kirk Douglas;Amsterdam;UNITED STATES;1916;Male;ACTOR
Athanasius of Alexandria;Alexandria;Egypt;296;Male;PHILOSOPHER
Anthony the Great;Bani Sweif;Egypt;251;Male;RELIGIOUS FIGURE
Bill Clinton;Hope;UNITED STATES;1946;Male;POLITICIAN
Britney Spears;McComb;UNITED STATES;1981;Female;SINGER
Gautama Buddha;Lumbini;Nepal;-563;Male;PHILOSOPHER
Baruch Spinoza;Amsterdam;NETHERLANDS;1632;Male;PHILOSOPHER
Bjarne Stroustrup;Aarhus;DENMARK;1950;Male;ENGINEER
Björn Ulvaeus;Gothenburg;SWEDEN;1945;Male;MUSICIAN
Benny Andersson;Vällingby;SWEDEN;1946;Male;MUSICIAN
Bill Gates;Seattle;UNITED STATES;1955;Male;BUSINESSPERSON
Bud Spencer;Naples;Italy;1929;Male;ACTOR
Brigitte Bardot;Paris;FRANCE;1934;Female;ACTOR
Bernard Montgomery, 1st Viscount Montgomery of Alamein;Kennington;United Kingdom;1887;Male;MILITARY PERSONNEL
Benjamin Disraeli, 1st Earl of Beaconsfield;London;UNITED KINGDOM;1804;Male;POLITICIAN
Susan B. Anthony;Adams;United States;1820;Female;SOCIAL ACTIVIST
Bram Stoker;Dublin;Ireland;1847;Male;WRITER
Benoît Mandelbrot;Warsaw;Poland;1924;Male;MATHEMATICIAN
Benedict of Nursia;Norcia;ITALY;480;Male;RELIGIOUS FIGURE
Bing Crosby;Tacoma;UNITED STATES;1903;Male;SINGER
Emily Dickinson;Amherst;UNITED STATES;1830;Female;WRITER
Bede;Jarrow;UNITED KINGDOM;672;Male;HISTORIAN
Blaise Pascal;Clermont-Ferrand;FRANCE;1623;Male;MATHEMATICIAN
Bertrand Russell;Trellech;UNITED KINGDOM;1872;Male;MATHEMATICIAN
Babe Ruth;Baltimore;United States;1895;Male;BASEBALL PLAYER
Brian De Palma;Newark;UNITED STATES;1940;Male;FILM DIRECTOR
Bobby Charlton;Ashington;United Kingdom;1937;Male;SOCCER PLAYER
Berthe Morisot;Bourges;France;1841;Female;PAINTER
Bayezid I;Edirne;Turkey;1354;Male;POLITICIAN
Bayezid II;Didymoteicho;GREECE;1447;Male;POLITICIAN
Bodhidharma;Kanchipuram;India;500;Male;PHILOSOPHER
Benjamin;Canaan;Israel;-1000;Male;RELIGIOUS FIGURE
Buddy Holly;Lubbock;United States;1936;Male;MUSICIAN
Babrak Karmal;Kamari;GREECE;1929;Male;POLITICIAN
Billy Bob Thornton;Hot Springs;UNITED STATES;1955;Male;ACTOR
Beatrix Potter;London;UNITED KINGDOM;1866;Female;WRITER
Boudica;South Wales;United Kingdom;1;Female;POLITICIAN
Béla Bartók;Sânnicolau Mare;ROMANIA;1881;Male;COMPOSER
Jesse McCartney;Lower Hudson Valley;United States;1987;Male;SINGER
Babur;Andijan;UZBEKISTAN;1483;Male;POLITICIAN
Bernard of Clairvaux;Fontaine-lès-Dijon;France;1090;Male;RELIGIOUS FIGURE
Blackbeard;Bristol;United Kingdom;1680;Male;PIRATE
Björn Borg;Stockholm;SWEDEN;1956;Male;TENNIS PLAYER
Barnabas;Cyprus;Cyprus;1;Male;RELIGIOUS FIGURE
Burhanuddin Rabbani;Fayzabad;AFGHANISTAN;1940;Male;POLITICIAN
Cyndi Lauper;New York;UNITED STATES;1953;Female;MUSICIAN
Boris Pasternak;Moscow;Russia;1890;Male;WRITER
Bruce Campbell;Royal Oak;UNITED STATES;1958;Male;ACTOR
B. F. Skinner;Susquehanna Depot;United States;1904;Male;PSYCHOLOGIST
Robert Bellarmine;Montepulciano;ITALY;1542;Male;PHYSICIAN
Bohdan Khmelnytsky;Subotiv;Ukraine;1595;Male;MILITARY PERSONNEL
Bo Diddley;McComb;UNITED STATES;1928;Male;MUSICIAN
Béla Lugosi;Lugoj;Romania;1882;Male;ACTOR
Brigham Young;Whitingham;United States;1801;Male;RELIGIOUS FIGURE
Bill Bryson;Des Moines;UNITED STATES;1951;Male;WRITER
Charlize Theron;Johannesburg;SOUTH AFRICA;1975;Female;ACTOR
Charlie Chaplin;Walworth;UNITED KINGDOM;1889;Male;ACTOR
Carl Linnaeus;Råshult;SWEDEN;1707;Male;BIOLOGIST
Charlemagne;Liège;Belgium;742;Male;POLITICIAN
Christopher Columbus;Genoa;ITALY;1451;Male;EXPLORER
Caspar David Friedrich;Greifswald;GERMANY;1774;Male;PAINTER
Brad Delson;Los Angeles;UNITED STATES;1977;Male;MUSICIAN
Claude Elwood Shannon;Petoskey;UNITED STATES;1916;Male;COMPUTER SCIENTIST
Charles Babbage;Teignmouth;UNITED KINGDOM;1791;Male;INVENTOR
Clement Attlee;Putney;United Kingdom;1883;Male;POLITICIAN
Catullus;Verona;ITALY;-84;Male;WRITER
Christopher Marlowe;Canterbury;UNITED KINGDOM;1564;Male;WRITER
Carlo Goldoni;Venice;ITALY;1707;Male;WRITER
Charles Baudelaire;Paris;FRANCE;1821;Male;WRITER
C. S. Lewis;Belfast;UNITED KINGDOM;1898;Male;WRITER
Confucius;Qufu;China;-551;Male;PHILOSOPHER
Charles Dickens;Portsmouth;United Kingdom;1812;Male;WRITER
Cicero;Arpino;Italy;-106;Male;POLITICIAN
Carl von Clausewitz;Burg bei Magdeburg;GERMANY;1780;Male;PHILOSOPHER
Carl Friedrich Gauss;Braunschweig;Germany;1777;Male;MATHEMATICIAN
Claudius;Lyon;France;-10;Male;POLITICIAN
Cecil B. DeMille;Ashfield;UNITED STATES;1881;Male;FILM DIRECTOR
Chuck Yeager;Myra;UNITED STATES;1923;Male;PILOT
Calvin Coolidge;Plymouth Notch;United States;1872;Male;POLITICIAN
Claudio Monteverdi;Cremona;ITALY;1567;Male;COMPOSER
Carl Menger;Nowy Sącz;POLAND;1840;Male;ECONOMIST
Claude Debussy;Saint-Germain-en-Laye;France;1862;Male;COMPOSER
Christian Goldbach;Kaliningrad;Russia;1690;Male;MATHEMATICIAN
Charles Martel;Herstal;Belgium;686;Male;MILITARY PERSONNEL
Charlotte Brontë;Thornton;United Kingdom;1816;Female;WRITER
Czesław Miłosz;Šeteniai;LITHUANIA;1911;Male;WRITER
Claude Monet;Paris;FRANCE;1840;Male;PAINTER
Columba;Gartan;Ireland;521;Male;RELIGIOUS FIGURE
Constantin Brancusi;Peștișani;ROMANIA;1876;Male;SCULPTOR
Miles Davis;St. Louis;UNITED STATES;1926;Male;MUSICIAN
Constantius II;Sirmium;Serbia;317;Male;POLITICIAN
Constans;Istanbul;Turkey;320;Male;POLITICIAN
Christopher Walken;New York;UNITED STATES;1943;Male;ACTOR
Caligula;Anzio;ITALY;12;Male;POLITICIAN
Chiang Kai-shek;Xikou;China;1887;Male;MILITARY PERSONNEL
Carlos Valderrama;Santa Marta;Colombia;1961;Male;SOCCER PLAYER
Colette;Saint-Sauveur-en-Puisaye;France;1873;Female;WRITER
Catherine of Aragon;Alcalá de Henares;SPAIN;1485;Female;COMPANION
Tony Bennett;New York;UNITED STATES;1926;Male;SINGER
Cimabue;Florence;ITALY;1240;Male;ARTIST
Christiaan Barnard;Beaufort West;SOUTH AFRICA;1922;Male;PHYSICIAN
Caravaggio;Milan;ITALY;1571;Male;PAINTER
Jean-Baptiste-Siméon Chardin;Paris;FRANCE;1699;Male;PAINTER
Christian Doppler;Salzburg;AUSTRIA;1803;Male;PHYSICIST
William Kidd;Greenock;United Kingdom;1645;Male;PIRATE
Constantine II;Arles;France;316;Male;POLITICIAN
Constantine I;Niš;SERBIA;272;Male;POLITICIAN
Charles Messier;Badonviller;France;1730;Male;ASTRONOMER
Clement of Alexandria;Athens;Greece;150;Male;PHILOSOPHER
Carl Barks;Merrill;United States;1901;Male;COMIC ARTIST
Casimir III of Poland;Kowal;POLAND;1310;Male;POLITICIAN
Cyril of Alexandria;Alexandria;Egypt;378;Male;PHYSICIAN
Cyril of Jerusalem;Caesarea Palaestina;Israel;313;Male;PHYSICIAN
Charles I of England;Dunfermline;United Kingdom;1600;Male;POLITICIAN
Camille Pissarro;Charlotte Amalie;US Virgin Islands;1830;Male;PAINTER
Carlo Collodi;Florence;ITALY;1826;Male;WRITER
Catherine of Siena;Siena;ITALY;1347;Female;RELIGIOUS FIGURE
Charles Lyell;Angus;UNITED KINGDOM;1797;Male;GEOLOGIST
Cuauhtémoc;Other;Mexico;1495;Male;POLITICIAN
Cesare Borgia;Papal States;Italy;1475;Male;MILITARY PERSONNEL
James Earl Ray;St. Louis;United States;1928;Male;EXTREMIST
Craig Venter;Salt Lake City;UNITED STATES;1946;Male;BIOLOGIST
Eugene Andrew Cernan;Chicago;UNITED STATES;1934;Male;ASTRONAUT
Clive Barker;Liverpool;UNITED KINGDOM;1952;Male;WRITER
Christine de Pizan;Republic of Venice;Italy;1363;Female;WRITER
Charles Mingus;Nogales;UNITED STATES;1922;Male;MUSICIAN
Chet Atkins;Luttrell;United States;1924;Male;MUSICIAN
Colin Maclaurin;Argyll;UNITED KINGDOM;1698;Male;MATHEMATICIAN
Mike Shinoda;Los Angeles;UNITED STATES;1977;Male;MUSICIAN
D. W. Griffith;La Grange;UNITED STATES;1875;Male;FILM DIRECTOR
David Lynch;Missoula;UNITED STATES;1946;Male;FILM DIRECTOR
David Cronenberg;Toronto;CANADA;1943;Male;FILM DIRECTOR
David Hume;Edinburgh;UNITED KINGDOM;1711;Male;PHILOSOPHER
David Fincher;Denver;UNITED STATES;1962;Male;FILM DIRECTOR
Douglas Engelbart;Portland;UNITED STATES;1925;Male;INVENTOR
Carlos Bocanegra;Los Angeles;UNITED STATES;1979;Male;SOCCER PLAYER
Douglas Adams;Cambridge;UNITED KINGDOM;1952;Male;WRITER
Donald Knuth;Milwaukee;UNITED STATES;1938;Male;COMPUTER SCIENTIST
Dave Grohl;Warren;United States;1969;Male;MUSICIAN
Dino Zoff;Mariano del Friuli;ITALY;1942;Male;COACH
Dante Alighieri;Florence;ITALY;1265;Male;WRITER
Jeff Buckley;Los Angeles;UNITED STATES;1966;Male;MUSICIAN
Dwight D. Eisenhower;Denison;United States;1890;Male;POLITICIAN
Daniel Defoe;London;UNITED KINGDOM;1660;Male;WRITER
Denis Diderot;Langres;France;1713;Male;WRITER
Deng Xiaoping;Guang'an;China;1904;Male;POLITICIAN
Democritus;Abdera;Greece;-460;Male;PHILOSOPHER
Patrick McGoohan;New York;UNITED STATES;1928;Male;ACTOR
Doris Day;Cincinnati;UNITED STATES;1924;Female;ACTOR
David Hilbert;Kaliningrad;Russia;1862;Male;MATHEMATICIAN
David Letterman;Indianapolis;UNITED STATES;1947;Male;PRESENTER
Diego de Almagro;Almagro;SPAIN;1475;Male;EXPLORER
Leo Fender;Los Angeles;UNITED STATES;1909;Male;INVENTOR
Draco;Other;Unknown;-650;Male;PUBLIC WORKER
David Ricardo;London;UNITED KINGDOM;1772;Male;ECONOMIST
Arthur Wellesley, 1st Duke of Wellington;Dublin;IRELAND;1769;Male;POLITICIAN
Diego Maradona;Buenos Aires;ARGENTINA;1960;Male;SOCCER PLAYER
David Brewster;Jedburgh;UNITED KINGDOM;1781;Male;PHYSICIST
Dmitri Shostakovich;Saint Petersburg;Russia;1906;Male;COMPOSER
David;Bethlehem;Palestine;-1040;Male;POLITICIAN
Diocletian;Solin;Croatia;244;Male;POLITICIAN
Domitian;Rome;ITALY;51;Male;POLITICIAN
David Beckham;Leytonstone;UNITED KINGDOM;1975;Male;SOCCER PLAYER
Clinton Davisson;Bloomington;UNITED STATES;1881;Male;PHYSICIST
Gabriel Fahrenheit;Gdańsk;POLAND;1686;Male;PHYSICIST
Dolly Parton;Sevierville;United States;1946;Female;SINGER
G. Stanley Hall;Ashfield;UNITED STATES;1844;Male;PSYCHOLOGIST
Daniel Ortega;Swansea;NICARAGUA;1945;Male;POLITICIAN
Dylan Thomas;Uplands, Swansea;UNITED KINGDOM;1914;Male;WRITER
David Bowie;Brixton;United Kingdom;1947;Male;SINGER
Dennis Hopper;Dodge City;UNITED STATES;1936;Male;ACTOR
David Morse;Boston;UNITED STATES;1953;Male;ACTOR
Gary Sinise;Chicago;UNITED STATES;1955;Male;ACTOR
Dean Koontz;Everett;United States;1945;Male;WRITER
Don Rosa;Louisville;UNITED STATES;1951;Male;COMIC ARTIST
Dziga Vertov;Białystok;POLAND;1896;Male;FILM DIRECTOR
Derek Walcott;Castries;SAINT LUCIA;1930;Male;WRITER
Al Oerter;New York;United States;1936;Male;ATHLETE
Lewis Henry Morgan;Aurora;UNITED STATES;1818;Male;ANTHROPOLOGIST
Django Reinhardt;Liberchies;BELGIUM;1910;Male;MUSICIAN
Jacques-Louis David;Paris;France;1748;Male;PAINTER
Diophantus;Alexandria;Egypt;200;Male;MATHEMATICIAN
Ernst Mayr;Kempten im Allgäu;Germany;1904;Male;BIOLOGIST
Elvis Presley;Tupelo;UNITED STATES;1935;Male;SINGER
Erasmus Darwin;Newark-on-Trent;UNITED KINGDOM;1731;Male;BIOLOGIST
Edward Sapir;Lębork;Poland;1884;Male;LINGUIST
Jane Addams;Cedarville;UNITED STATES;1860;Female;SOCIAL ACTIVIST
Benjamin Franklin;Boston;UNITED STATES;1706;Male;POLITICIAN
Edmund Stoiber;Oberaudorf;Germany;1941;Male;POLITICIAN
Enya;Gweedore;Ireland;1961;Female;SINGER
Elias Canetti;Ruse;Bulgaria;1905;Male;WRITER
Milorad Čavić;Los Angeles;UNITED STATES;1984;Male;SWIMMER
Edvard Grieg;Bergen;NORWAY;1843;Male;COMPOSER
Erwin Rommel;Heidenheim an der Brenz;GERMANY;1891;Male;MILITARY PERSONNEL
Edmund Husserl;Prostějov;CZECH REPUBLIC;1859;Male;PHILOSOPHER
Edmund Spenser;London;UNITED KINGDOM;1552;Male;WRITER
Daniel Dennett;Boston;UNITED STATES;1942;Male;PHILOSOPHER
Empedocles;Agrigento;ITALY;-490;Male;PHILOSOPHER
Eric S. Raymond;Boston;UNITED STATES;1957;Male;COMPUTER SCIENTIST
Ernest Rutherford;Brightwater;NEW ZEALAND;1871;Male;CHEMIST
Édouard Manet;Paris;FRANCE;1832;Male;PAINTER
Elizabeth Barrett Browning;Kelloe;UNITED KINGDOM;1806;Female;WRITER
James Tobin;Urbana-Champaign;UNITED STATES;1918;Male;ECONOMIST
Eugène Viollet-le-Duc;Paris;FRANCE;1814;Male;ARCHITECT
Ernst Haeckel;Potsdam;GERMANY;1834;Male;BIOLOGIST
Einhard;Maingau;Germany;775;Male;WRITER
Prince Eugene of Savoy;Paris;France;1663;Male;MILITARY PERSONNEL
Emma Goldman;Kaunas;Lithuania;1869;Female;SOCIAL ACTIVIST
Edvard Munch;Ådalsbruk;NORWAY;1863;Male;PAINTER
Euripides;Salamis Island;GREECE;-480;Male;WRITER
Emily Brontë;Thornton, West Yorkshire;United Kingdom;1818;Female;WRITER
Évariste Galois;Bourg-la-Reine;France;1811;Male;MATHEMATICIAN
Ennius;Rudiae;Italy;-239;Male;WRITER
Ezra;Babylon;Iraq;-480;Male;RELIGIOUS FIGURE
Elijah;Tishbe;Jordan;-3500;Male;RELIGIOUS FIGURE
Esther;Susa;Iran;-1000;Female;RELIGIOUS FIGURE
Ezekiel;Jerusalem;Israel;-622;Male;RELIGIOUS FIGURE
Erwin Schrödinger;Vienna;AUSTRIA;1887;Male;PHYSICIST
Élisabeth-Louise Vigée Le Brun;Paris;FRANCE;1755;Female;ARTIST
Erik Satie;Honfleur;France;1866;Male;COMPOSER
Eleanor of Aquitaine;Bordeaux;FRANCE;1122;Female;COMPANION
Emil Kraepelin;Neustrelitz;Germany;1856;Male;PHYSICIAN
